Country;Val;Att
Afghanistan;46.0;78.0
Albania;13.0;5.0
Angola;38.0;25.0
Argentina;27.0;14.1
Armenia;10.0;3.7
Australia;23.0;6.8
Austria;15.0;4.0
Azerbaijan;14.0;24.0
Bangladesh;50.0;17.0
Belgium;22.0;2.5
Benin;26.0;29.0
Bhutan;22.0;70.0
Bolivia;42.0;22.1
Bosnia and Herzegovina;12.0;1.0
Botswana;34.0;23.1
Brazil;23.0;11.7
Bulgaria;19.0;18.3
Burkina Faso;19.0;39.0
Burundi;40.0;63.0
Cambodia;19.0;46.0
Cameroon;39.0;28.0
Canada;44.1;13.6
Central African Republic;29.0;61.0
Chad;29.0;74.0
Chile;21.0;31.3
China (People's Republic of);19.0;14.6
Chinese Taipei;25.0;19.8
Colombia;30.0;12.3
Costa Rica;27.0;3.0
Côte d'Ivoire;27.0;43.0
Croatia;13.0;4.4
Cuba;14.0;3.0
Cyprus;16.0;7.8
Czechia;22.0;2.6
Democratic Republic of the Congo;47.0;60.0
Denmark;23.0;0.0
Dominican Republic;19.0;3.0
Ecuador;33.0;20.2
Egypt;30.0;34.7
El Salvador;21.0;10.0
Equatorial Guinea;46.0;57.0
Estonia;21.0;17.8
Ethiopia;37.0;13.7
Fiji;52.0;24.2
Finland;23.0;13.2
France;22.0;5.5
Gabon;41.0;58.0
Gambia;25.0;57.0
Georgia;10.0;8.7
Germany;21.0;2.5
Ghana;24.0;37.0
Greece;18.0;5.0
Guatemala;21.0;23.5
Guinea;37.0;65.0
Haiti;23.0;23.0
Honduras;17.0;6.2
Hong Kong, China;26.4;35.5
Hungary;19.0;11.5
India;35.0;41.0
Indonesia;22.0;20.2
Iran;31.0;9.8
Iraq;26.0;31.0
Ireland;16.0;1.4
Italy;16.0;6.1
Jamaica;24.0;17.0
Japan;20.0;7.8
Jordan;24.0;63.0
Kazakhstan;16.0;37.4
Kenya;38.0;50.4
Kyrgyzstan;23.0;19.3
Lao People's Democratic Republic;19.0;30.0
Latvia;25.0;1.9
Lebanon;18.4;46.6
Lesotho;40.0;30.0
Liberia;43.0;45.0
Lithuania;22.0;1.4
Luxembourg;20.0;4.0
Madagascar;28.0;41.0
Malawi;30.0;18.9
Malaysia;19.0;55.3
Mali;29.0;74.0
Malta;17.0;0.0
Mauritania;8.8;26.0
Mexico;24.0;31.8
Moldova;27.0;13.0
Mongolia;27.0;62.9
Montenegro;16.0;2.0
Morocco;46.0;52.3
Mozambique;30.0;14.0
Myanmar;19.0;14.4
Namibia;27.0;28.0
Nepal;27.0;22.0
Netherlands;21.0;7.1
New Zealand;23.0;2.9
Nicaragua;23.0;12.0
Nigeria;24.0;29.3
North Macedonia;13.0;11.0
Norway;20.0;11.1
Pakistan;29.0;51.0
Palestinian Authority or West Bank and Gaza Strip;21.2;15.7
Panama;16.0;9.0
Papua New Guinea;51.0;69.0
Paraguay;18.0;7.0
Peru;38.0;11.4
Philippines;14.0;53.6
Poland;13.0;9.7
Portugal;18.0;2.5
Qatar;24.0;5.0
Romania;18.0;8.5
Rwanda;38.0;45.0
Saudi Arabia;43.0;20.5
Senegal;24.0;42.0
Serbia;17.0;2.0
Sierra Leone;36.0;44.0
Singapore;11.0;13.8
Slovak Republic;18.0;5.5
Slovenia;18.0;17.1
South Africa;24.0;7.0
Spain;15.0;9.6
Sri Lanka;24.0;54.0
Sweden;21.0;13.1
Switzerland;12.0;14.1
Tajikistan;24.0;75.1
Tanzania;38.0;59.0
Thailand;24.0;8.0
Timor-Leste;38.0;69.0
Togo;25.0;25.0
Trinidad and Tobago;28.0;8.0
Tunisia;25.0;29.4
Türkiye;32.0;6.0
Turkmenistan;12.0;46.0
Uganda;45.0;58.0
Ukraine;18.0;31.1
United Kingdom;24.0;12.3
United States;26.0;13.9
Uruguay;18.0;3.0
Venezuela;19.0;27.9
Viet Nam;25.0;56.9
Zambia;41.0;47.0
Zimbabwe;35.0;17.9